timestamp,source,match_id,home_team,away_team,home_win,draw,away_win,home_or_draw,away_or_draw,home_or_away,over_1_5,under_1_5,over_2_5,under_2_5,over_3_5,under_3_5,both_teams_score_yes,both_teams_score_no
2025-06-15T21:15:56.055127,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.5,3.75,1.23,1.77,1.26,,,1.85,1.85,3.0,1.33,1.65,2.05
2025-06-15T21:16:06.719391,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,,,,,,,,,,,,,,
2025-06-15T21:16:16.959253,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,,,,,,,,,,,,,,
2025-06-15T21:16:27.363012,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.9,1.8,3.1,1.3,1.75,1.95
2025-06-15T21:16:37.803943,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.9,1.8,3.1,1.3,1.75,1.95
2025-06-15T21:16:48.304096,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.9,1.8,3.1,1.3,1.75,1.95
2025-06-15T21:16:58.701736,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.9,3.6,3.75,1.22,1.8,1.24,,,1.9,1.8,3.1,1.3,1.75,1.95
2025-06-15T21:17:09.131133,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.75,1.9
2025-06-15T21:17:19.556216,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.75,1.9
2025-06-15T21:17:30.141835,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.75,1.9
2025-06-15T21:17:40.591140,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.75,1.9
2025-06-15T21:17:50.990800,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.75,1.9
2025-06-15T21:18:01.411552,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.75,1.9
2025-06-15T21:18:11.979980,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.8,1.9
2025-06-15T21:18:22.415768,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.8,1.9
2025-06-15T21:18:32.823875,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.8,1.9
2025-06-15T21:18:43.186426,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.8,1.9
2025-06-15T21:18:53.624147,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.8,1.9
2025-06-15T21:19:04.051141,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.8,1.9
2025-06-15T21:19:14.315632,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,1.95,3.4,3.75,1.22,1.75,1.26,,,1.95,1.75,3.25,1.27,1.8,1.9
2025-06-15T21:19:24.468717,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.25,3.75,1.22,1.71,1.28,,,2.0,1.72,3.25,1.27,1.75,1.9
2025-06-15T21:19:34.710546,Sisal,paris-saint-germain-atletico-madrid,Paris Saint-Germain,Atletico Madrid,2.0,3.25,3.75,1.22,1.71,1.28,,,2.0,1.72,3.25,1.27,1.75,1.9
